Symbol,Type,Entry,Exit,Profit,Date
GBPJPY,Buy,1417.46,1612.47,195.01,2025-03-30
BTCUSD,Sell,1666.66,1821.8700000000001,155.21,2025-03-31
USDJPY,Sell,1641.06,1827.28,186.22,2025-04-01
ETHUSD,Sell,1229.41,1239.69,10.28,2025-04-02
GBPJPY,Sell,1312.1,1405.6799999999998,93.58,2025-04-03
EURUSD,Sell,1441.87,1487.1299999999999,45.26,2025-04-04
XAUUSD,Buy,1100.29,1228.79,128.5,2025-04-05
XAUUSD,Buy,1948.19,1853.78,-94.41,2025-04-06
USDJPY,Buy,1966.71,2075.25,108.54,2025-04-07
USDJPY,Buy,1538.58,1545.6399999999999,7.06,2025-04-08
GBPJPY,Sell,1218.17,1312.0700000000002,93.9,2025-04-09
XAUUSD,Sell,1761.27,1655.52,-105.75,2025-04-10
XAUUSD,Sell,1847.52,1880.76,33.24,2025-04-11
EURUSD,Sell,1525.56,1575.24,49.68,2025-04-12
EURUSD,Buy,1133.02,965.79,-167.23,2025-04-13
ETHUSD,Sell,1259.72,1474.39,214.67,2025-04-14
BTCUSD,Sell,1476.53,1406.25,-70.28,2025-04-15
ETHUSD,Buy,1947.89,2152.13,204.24,2025-04-16
BTCUSD,Sell,1319.38,1444.96,125.58,2025-04-17
ETHUSD,Sell,1480.51,1613.18,132.67,2025-04-18
XAUUSD,Sell,1206.85,1239.07,32.22,2025-04-19
BTCUSD,Buy,1117.88,1254.64,136.76,2025-04-20
ETHUSD,Sell,1080.69,978.7700000000001,-101.92,2025-04-21
GBPJPY,Buy,1369.52,1261.25,-108.27,2025-04-22
GBPJPY,Buy,1552.86,1662.09,109.23,2025-04-23
USDJPY,Sell,1914.2,1841.45,-72.75,2025-04-24
ETHUSD,Buy,1282.16,1168.75,-113.41,2025-04-25
XAUUSD,Sell,1370.32,1520.72,150.4,2025-04-26
GBPJPY,Sell,1660.39,1788.41,128.02,2025-04-27
EURUSD,Buy,1835.91,1758.0600000000002,-77.85,2025-04-28
ETHUSD,Buy,1372.79,1213.57,-159.22,2025-04-29
GBPJPY,Sell,1782.95,1648.9,-134.05,2025-04-30
ETHUSD,Buy,1716.27,1648.12,-68.15,2025-05-01
XAUUSD,Buy,1207.15,1086.19,-120.96,2025-05-02
USDJPY,Sell,1574.91,1377.3700000000001,-197.54,2025-05-03
EURUSD,Buy,1530.62,1349.61,-181.01,2025-05-04
USDJPY,Sell,1310.06,1411.6599999999999,101.6,2025-05-05
GBPJPY,Sell,1831.25,1654.15,-177.1,2025-05-06
GBPJPY,Sell,1924.96,2077.84,152.88,2025-05-07
USDJPY,Sell,1477.16,1550.15,72.99,2025-05-08
GBPJPY,Sell,1664.36,1748.4699999999998,84.11,2025-05-09
XAUUSD,Buy,1819.16,1623.75,-195.41,2025-05-10
USDJPY,Sell,1114.77,1137.31,22.54,2025-05-11
EURUSD,Sell,1204.59,1242.52,37.93,2025-05-12
GBPJPY,Sell,1405.36,1610.9099999999999,205.55,2025-05-13
USDJPY,Sell,1366.1,1214.6699999999998,-151.43,2025-05-14
EURUSD,Sell,1471.12,1687.57,216.45,2025-05-15
ETHUSD,Sell,1102.21,950.8100000000001,-151.4,2025-05-16
BTCUSD,Sell,1153.5,1242.09,88.59,2025-05-17
ETHUSD,Buy,1869.62,1677.4499999999998,-192.17,2025-05-18
ETHUSD,Sell,1671.76,1594.24,-77.52,2025-05-19
GBPJPY,Buy,1289.58,1296.06,6.48,2025-05-20
ETHUSD,Buy,1832.81,1939.59,106.78,2025-05-21
USDJPY,Buy,1287.43,1321.44,34.01,2025-05-22
USDJPY,Buy,1706.68,1918.3000000000002,211.62,2025-05-23
USDJPY,Buy,1362.74,1303.74,-59.0,2025-05-24
USDJPY,Sell,1338.0,1230.62,-107.38,2025-05-25
USDJPY,Sell,1543.29,1409.32,-133.97,2025-05-26
ETHUSD,Buy,1266.91,1320.3600000000001,53.45,2025-05-27
GBPJPY,Sell,1549.28,1629.77,80.49,2025-05-28
USDJPY,Buy,1144.91,964.4900000000001,-180.42,2025-05-29
GBPJPY,Sell,1030.71,1015.6600000000001,-15.05,2025-05-30
XAUUSD,Buy,1803.84,1629.06,-174.78,2025-05-31
ETHUSD,Buy,1821.11,1779.1,-42.01,2025-06-01
ETHUSD,Sell,1510.18,1568.0,57.82,2025-06-02
BTCUSD,Sell,1562.29,1698.11,135.82,2025-06-03
EURUSD,Sell,1795.11,1640.85,-154.26,2025-06-04
BTCUSD,Sell,1569.23,1427.55,-141.68,2025-06-05
USDJPY,Buy,1975.99,1944.2,-31.79,2025-06-06
BTCUSD,Buy,1937.74,2005.39,67.65,2025-06-07
EURUSD,Buy,1972.59,1835.9099999999999,-136.68,2025-06-08
EURUSD,Buy,1071.7,932.9200000000001,-138.78,2025-06-09
ETHUSD,Buy,1447.42,1496.53,49.11,2025-06-10
EURUSD,Buy,1614.56,1807.23,192.67,2025-06-11
XAUUSD,Sell,1167.29,1142.52,-24.77,2025-06-12
USDJPY,Sell,1258.17,1070.2,-187.97,2025-06-13
XAUUSD,Buy,1797.18,1925.98,128.8,2025-06-14
XAUUSD,Sell,1912.95,1997.2,84.25,2025-06-15
EURUSD,Buy,1711.44,1951.68,240.24,2025-06-16
GBPJPY,Buy,1457.68,1449.5,-8.18,2025-06-17
EURUSD,Sell,1082.25,1028.45,-53.8,2025-06-18
USDJPY,Sell,1812.65,1690.0800000000002,-122.57,2025-06-19
BTCUSD,Sell,1172.62,1119.8,-52.82,2025-06-20
ETHUSD,Sell,1413.2,1598.3500000000001,185.15,2025-06-21
EURUSD,Sell,1916.08,1835.9299999999998,-80.15,2025-06-22
ETHUSD,Buy,1121.53,959.96,-161.57,2025-06-23
EURUSD,Buy,1178.15,1315.2,137.05,2025-06-24
GBPJPY,Buy,1264.21,1276.45,12.24,2025-06-25
USDJPY,Buy,1133.93,1312.02,178.09,2025-06-26
GBPJPY,Buy,1974.27,2017.58,43.31,2025-06-27
EURUSD,Sell,1908.35,1919.58,11.23,2025-06-28
USDJPY,Sell,1062.42,1130.5800000000002,68.16,2025-06-29
XAUUSD,Buy,1189.57,1299.3899999999999,109.82,2025-06-30
EURUSD,Sell,1890.58,1919.46,28.88,2025-07-01
XAUUSD,Sell,1894.84,2134.83,239.99,2025-07-02
EURUSD,Sell,1011.07,1161.79,150.72,2025-07-03
EURUSD,Buy,1165.42,1399.73,234.31,2025-07-04
USDJPY,Buy,1180.16,1379.74,199.58,2025-07-05
ETHUSD,Buy,1744.3,1730.94,-13.36,2025-07-06
USDJPY,Buy,1758.53,1914.46,155.93,2025-07-07
